Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.008715
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.009974
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.009123
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010548
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.012896
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010745
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.009273
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010136
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.007999
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010478
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.008780
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.008328
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010852
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010059
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.012069
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.009683
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010901
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010020
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010187
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010180
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.009762
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010907
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010404
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.012327
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.011514
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.010093
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.012275
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.011293
sub-CC120347	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.008567
sub-CC120376	ses-rest_meg_ses-rest_task-rest_proc-sss	coh_img	Gamma	abs_mean	0.011229
