Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.480477e-10
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.898666e-10
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.753407e-10
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.042518e-09
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.438919e-10
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.388987e-09
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.965245e-10
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	9.579811e-10
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.066556e-10
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.037785e-10
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.221243e-10
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.777504e-10
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	8.222890e-10
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	9.850871e-10
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	8.577738e-10
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.396469e-10
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.292633e-09
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	7.678107e-10
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.032420e-10
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.699931e-10
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.130736e-10
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.624819e-09
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.421157e-10
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.399300e-09
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.569252e-10
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.178603e-10
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	6.562099e-10
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.703453e-10
sub-CC120347	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	7.895213e-10
sub-CC120376	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	8.814677e-10
sub-CC120409	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	6.294107e-10
sub-CC120462	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.406382e-10
sub-CC120469	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.503760e-10
sub-CC120550	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.769991e-10
sub-CC120640	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.605098e-10
sub-CC120727	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.602447e-10
sub-CC120764	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.502631e-09
sub-CC121111	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	8.576798e-10
sub-CC121144	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	1.586846e-10
sub-CC121158	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.356958e-10
sub-CC121200	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.874731e-10
sub-CC121317	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.321705e-10
sub-CC121397	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	3.743392e-10
sub-CC121411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	5.708842e-10
sub-CC121428	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	4.050693e-10
sub-CC121479	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Alpha	abs_mean	2.421380e-10
