Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.671561e-11
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.022650e-11
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.597465e-11
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.483957e-10
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.986395e-11
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.431706e-10
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.614295e-11
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.440450e-11
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	3.349103e-11
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.865143e-11
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.210653e-11
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.720306e-11
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.725701e-11
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.953771e-11
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.513541e-10
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.718393e-11
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.759773e-11
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.323164e-11
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.994957e-11
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.684664e-11
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.907208e-11
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.579785e-11
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.098065e-11
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.092672e-10
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.010338e-11
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.089729e-11
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.113507e-11
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.695045e-11
sub-CC120347	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.441497e-11
sub-CC120376	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.754690e-11
sub-CC120409	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.101668e-10
sub-CC120462	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.677554e-11
sub-CC120469	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.002738e-10
sub-CC120550	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.396859e-11
sub-CC120640	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.950159e-11
sub-CC120727	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.079240e-11
sub-CC120764	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.314480e-11
sub-CC121111	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.120192e-10
sub-CC121144	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.720837e-11
sub-CC121158	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.681934e-11
sub-CC121200	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.046155e-10
sub-CC121317	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.782835e-11
sub-CC121397	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.298154e-11
sub-CC121411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.617456e-11
sub-CC121428	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.224471e-11
sub-CC121479	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.119296e-11
sub-CC121685	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.813722e-10
sub-CC121795	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.383211e-11
sub-CC122172	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.306387e-11
sub-CC122405	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.399046e-11
sub-CC210023	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.239503e-11
sub-CC210051	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.111200e-11
sub-CC210088	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.461172e-11
sub-CC210124	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.342945e-11
sub-CC210148	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.385353e-11
sub-CC210172	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.012197e-10
sub-CC210182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.228260e-11
sub-CC210250	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.390835e-10
sub-CC210422	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.638491e-10
sub-CC210519	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.076609e-11
sub-CC210617	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.169122e-11
sub-CC210657	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.100763e-10
sub-CC212153	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.133672e-11
sub-CC220107	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.184245e-11
sub-CC220115	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.974188e-11
sub-CC220132	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.641832e-11
sub-CC220151	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.519673e-11
sub-CC220198	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	2.999127e-10
sub-CC220203	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.317706e-11
sub-CC220223	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.254243e-10
sub-CC220234	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.494813e-11
sub-CC220284	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.964335e-11
sub-CC220323	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.680606e-11
sub-CC220335	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.809071e-11
sub-CC220352	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.490874e-11
sub-CC220372	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.945164e-11
sub-CC220419	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.605060e-11
sub-CC220506	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.846501e-11
sub-CC220518	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.092099e-10
sub-CC220519	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.298221e-11
sub-CC220535	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.166808e-10
sub-CC220567	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	2.222148e-10
sub-CC220610	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.852689e-11
sub-CC220635	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.103109e-10
sub-CC220697	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.392789e-11
sub-CC220713	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.550561e-10
sub-CC220828	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.011497e-10
sub-CC220843	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.973176e-11
sub-CC220901	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.855678e-11
sub-CC220920	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.548632e-11
sub-CC220974	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.739119e-11
sub-CC220999	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.675268e-11
sub-CC221002	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	2.503835e-10
sub-CC221031	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.472411e-11
sub-CC221033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.247601e-10
sub-CC221040	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.236501e-11
sub-CC221054	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.073677e-11
sub-CC221107	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.104323e-10
sub-CC221209	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.298608e-11
sub-CC221324	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.206668e-10
sub-CC310008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.737689e-11
sub-CC310051	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.280610e-10
sub-CC310052	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.457020e-11
sub-CC310086	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.327625e-10
sub-CC310129	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.544078e-10
sub-CC310135	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.828345e-11
sub-CC310160	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	8.438615e-11
sub-CC310203	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.883133e-11
sub-CC310224	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.900001e-11
sub-CC310252	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	3.700315e-10
sub-CC310256	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.160863e-10
sub-CC310331	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	6.114443e-11
sub-CC310391	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.419524e-11
sub-CC310397	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	2.466222e-10
sub-CC310400	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.059627e-10
sub-CC310410	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.401357e-11
sub-CC310414	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	4.889972e-11
sub-CC310450	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.108634e-10
sub-CC310463	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	9.296809e-11
sub-CC310473	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.119556e-10
sub-CC312058	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.027364e-10
sub-CC312222	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	7.710183e-11
sub-CC320002	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.026480e-10
sub-CC320022	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	5.094507e-11
sub-CC320059	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.551733e-10
sub-CC320088	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Beta2	abs_mean	1.447699e-10
