Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.099651e-10
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.175819e-10
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.113390e-10
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.741559e-10
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.086569e-10
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	8.482317e-10
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.002141e-10
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.714972e-10
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.257891e-10
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.867854e-10
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.700714e-10
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.355636e-10
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.135378e-10
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	8.322079e-10
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.424147e-10
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.375179e-10
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.548815e-10
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.370971e-10
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.478308e-10
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.074730e-10
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.853075e-10
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.039629e-10
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	1.977989e-10
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	6.909346e-10
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.008472e-10
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.018194e-10
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.639095e-10
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.104922e-10
sub-CC120347	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.313006e-10
sub-CC120376	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.031017e-10
sub-CC120409	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.564409e-10
sub-CC120462	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.315107e-10
sub-CC120469	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.470359e-10
sub-CC120550	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.142054e-10
sub-CC120640	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.131348e-10
sub-CC120727	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.473311e-10
sub-CC120764	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.317988e-10
sub-CC121111	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.961398e-10
sub-CC121144	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.367402e-10
sub-CC121158	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.265566e-10
sub-CC121200	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.548693e-10
sub-CC121317	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.237476e-10
sub-CC121397	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.158830e-10
sub-CC121411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.085136e-10
sub-CC121428	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.770797e-10
sub-CC121479	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.486471e-10
sub-CC121685	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	1.353989e-09
sub-CC121795	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	5.708863e-10
sub-CC122172	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	4.195795e-10
sub-CC122405	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	3.376005e-10
sub-CC210023	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	1.772716e-10
sub-CC210051	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.362530e-10
sub-CC210088	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	6.776486e-10
sub-CC210124	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	1.712696e-10
sub-CC210148	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Delta	abs_mean	2.693173e-10
