Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.478745e-11
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.139576e-11
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.360065e-11
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.230845e-11
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.314007e-11
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.361258e-11
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.837471e-11
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.978535e-11
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.343018e-11
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.960907e-11
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.208609e-11
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.291702e-11
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.823052e-11
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.487161e-11
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.391738e-11
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.873156e-11
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.703360e-11
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.930094e-11
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.910636e-11
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.697916e-11
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.952061e-11
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.477778e-11
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.946067e-11
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.076909e-11
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	2.084056e-11
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.795105e-11
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.394361e-11
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Gamma	abs_mean	1.726429e-11
