Subject_ID	Exam_ID	Metric	Freq	Stat	Global
sub-CC110033	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.126386e-10
sub-CC110037	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.735852e-10
sub-CC110045	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.268204e-10
sub-CC110069	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	5.632823e-10
sub-CC110087	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.160698e-10
sub-CC110098	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.162833e-09
sub-CC110101	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.293844e-10
sub-CC110126	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	5.997657e-10
sub-CC110174	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.968800e-10
sub-CC110182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.658478e-10
sub-CC110187	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.176754e-10
sub-CC110319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.649940e-10
sub-CC110411	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.587054e-10
sub-CC110606	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.445845e-09
sub-CC112141	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.697330e-10
sub-CC120008	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.582099e-10
sub-CC120049	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	7.234874e-10
sub-CC120061	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.211411e-10
sub-CC120065	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.883707e-10
sub-CC120120	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.818085e-10
sub-CC120166	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.151985e-10
sub-CC120182	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.882390e-10
sub-CC120218	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.708265e-10
sub-CC120264	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	1.787360e-09
sub-CC120276	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.012064e-10
sub-CC120309	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.731744e-10
sub-CC120313	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	5.899896e-10
sub-CC120319	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	3.284332e-10
sub-CC120347	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.891376e-10
sub-CC120376	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	6.810677e-10
sub-CC120409	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	7.854739e-10
sub-CC120462	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.727720e-10
sub-CC120469	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.929950e-10
sub-CC120550	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	4.720148e-10
sub-CC120640	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	2.934413e-10
sub-CC120727	ses-rest_meg_ses-rest_task-rest_proc-sss	power	Theta	abs_mean	6.455840e-10
